WS_3_20.bin
         3.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
1383
 2
1
Chargeability
mV/V
 0.06,0.5
4  12.00  0.00 105.00  0.00 57.00  0.00 60.00  0.00 578.17  2.19
4  12.00  0.00 111.00  0.00 60.00  0.00 63.00  0.00 576.96  2.65
4  12.00  0.00 117.00  0.00 63.00  0.00 66.00  0.00 592.40  2.89
4  12.00  0.00 123.00  0.00 66.00  0.00 69.00  0.00 587.30  2.19
4  12.00  0.00 24.00  0.00 15.00  0.00 21.00  0.00 224.32  7.52
4  12.00  0.00 30.00  0.00 18.00  0.00 24.00  0.00 237.18  6.23
4  12.00  0.00 36.00  0.00 21.00  0.00 27.00  0.00 249.70  6.23
4  12.00  0.00 42.00  0.00 24.00  0.00 30.00  0.00 285.56  5.49
4  12.00  0.00 48.00  0.00 27.00  0.00 33.00  0.00 314.26  5.97
4  12.00  0.00 54.00  0.00 30.00  0.00 36.00  0.00 335.58  6.76
4  12.00  0.00 60.00  0.00 33.00  0.00 39.00  0.00 357.13  7.37
4  12.00  0.00 66.00  0.00 36.00  0.00 42.00  0.00 368.29  6.19
4  12.00  0.00 72.00  0.00 39.00  0.00 45.00  0.00 364.87  5.69
4  12.00  0.00 78.00  0.00 42.00  0.00 48.00  0.00 396.00  5.18
4  12.00  0.00 84.00  0.00 45.00  0.00 51.00  0.00 384.49  4.85
4  12.00  0.00 90.00  0.00 48.00  0.00 54.00  0.00 458.82  4.14
4  12.00  0.00 96.00  0.00 51.00  0.00 57.00  0.00 525.74  3.19
4  12.00  0.00 102.00  0.00 54.00  0.00 60.00  0.00 562.15  2.70
4  12.00  0.00 108.00  0.00 57.00  0.00 63.00  0.00 579.61  1.92
4  12.00  0.00 114.00  0.00 60.00  0.00 66.00  0.00 577.28  2.63
4  12.00  0.00 120.00  0.00 63.00  0.00 69.00  0.00 580.86  2.42
4  12.00  0.00 27.00  0.00 15.00  0.00 24.00  0.00 219.60  7.57
4  12.00  0.00 33.00  0.00 18.00  0.00 27.00  0.00 245.24  6.74
4  12.00  0.00 39.00  0.00 21.00  0.00 30.00  0.00 264.80  6.55
4  12.00  0.00 45.00  0.00 24.00  0.00 33.00  0.00 306.66  5.93
4  12.00  0.00 51.00  0.00 27.00  0.00 36.00  0.00 333.81  6.28
4  12.00  0.00 57.00  0.00 30.00  0.00 39.00  0.00 358.70  6.81
4  12.00  0.00 63.00  0.00 33.00  0.00 42.00  0.00 373.60  6.41
4  12.00  0.00 69.00  0.00 36.00  0.00 45.00  0.00 387.18  6.15
4  12.00  0.00 75.00  0.00 39.00  0.00 48.00  0.00 377.09  5.24
4  12.00  0.00 81.00  0.00 42.00  0.00 51.00  0.00 404.66  4.42
4  12.00  0.00 87.00  0.00 45.00  0.00 54.00  0.00 437.07  4.28
4  12.00  0.00 93.00  0.00 48.00  0.00 57.00  0.00 495.72  3.69
4  12.00  0.00 99.00  0.00 51.00  0.00 60.00  0.00 551.59  2.92
4  12.00  0.00 105.00  0.00 54.00  0.00 63.00  0.00 578.30  1.96
4  12.00  0.00 111.00  0.00 57.00  0.00 66.00  0.00 591.75  2.14
4  15.00  0.00 24.00  0.00 18.00  0.00 21.00  0.00 186.70  6.24
4  15.00  0.00 30.00  0.00 21.00  0.00 24.00  0.00 222.61  9.98
4  15.00  0.00 36.00  0.00 24.00  0.00 27.00  0.00 240.40  6.53
4  15.00  0.00 42.00  0.00 27.00  0.00 30.00  0.00 268.85  6.17
4  15.00  0.00 48.00  0.00 30.00  0.00 33.00  0.00 294.41  6.05
4  15.00  0.00 54.00  0.00 33.00  0.00 36.00  0.00 317.14  7.43
4  15.00  0.00 60.00  0.00 36.00  0.00 39.00  0.00 336.49  8.42
4  15.00  0.00 66.00  0.00 39.00  0.00 42.00  0.00 358.40  6.47
4  15.00  0.00 72.00  0.00 42.00  0.00 45.00  0.00 357.14  5.64
4  15.00  0.00 78.00  0.00 45.00  0.00 48.00  0.00 422.94  6.08
4  15.00  0.00 84.00  0.00 48.00  0.00 51.00  0.00 417.38  4.50
4  15.00  0.00 90.00  0.00 51.00  0.00 54.00  0.00 470.68  4.26
4  15.00  0.00 96.00  0.00 54.00  0.00 57.00  0.00 535.56  2.65
4  15.00  0.00 102.00  0.00 57.00  0.00 60.00  0.00 561.99  2.65
4  15.00  0.00 108.00  0.00 60.00  0.00 63.00  0.00 574.69  2.19
4  15.00  0.00 114.00  0.00 63.00  0.00 66.00  0.00 572.26  2.57
4  15.00  0.00 120.00  0.00 66.00  0.00 69.00  0.00 585.96  2.89
4  15.00  0.00 27.00  0.00 18.00  0.00 24.00  0.00 190.44  6.71
4  15.00  0.00 33.00  0.00 21.00  0.00 27.00  0.00 235.10  8.11
4  15.00  0.00 39.00  0.00 24.00  0.00 30.00  0.00 249.70  7.65
4  15.00  0.00 45.00  0.00 27.00  0.00 33.00  0.00 292.83  6.19
4  15.00  0.00 51.00  0.00 30.00  0.00 36.00  0.00 318.45  6.60
4  15.00  0.00 57.00  0.00 33.00  0.00 39.00  0.00 341.17  7.71
4  15.00  0.00 63.00  0.00 36.00  0.00 42.00  0.00 356.64  7.37
4  15.00  0.00 69.00  0.00 39.00  0.00 45.00  0.00 369.47  5.72
4  15.00  0.00 75.00  0.00 42.00  0.00 48.00  0.00 372.40  5.40
4  15.00  0.00 81.00  0.00 45.00  0.00 51.00  0.00 418.84  4.71
4  15.00  0.00 87.00  0.00 48.00  0.00 54.00  0.00 419.05  4.39
4  15.00  0.00 93.00  0.00 51.00  0.00 57.00  0.00 484.21  3.93
4  15.00  0.00 99.00  0.00 54.00  0.00 60.00  0.00 538.73  3.08
4  15.00  0.00 105.00  0.00 57.00  0.00 63.00  0.00 560.35  2.59
4  15.00  0.00 111.00  0.00 60.00  0.00 66.00  0.00 573.08  1.94
4  15.00  0.00 117.00  0.00 63.00  0.00 69.00  0.00 569.71  2.59
4  15.00  0.00 30.00  0.00 18.00  0.00 27.00  0.00 199.29  6.90
4  15.00  0.00 36.00  0.00 21.00  0.00 30.00  0.00 238.00  7.33
4  15.00  0.00 42.00  0.00 24.00  0.00 33.00  0.00 272.11  6.77
4  15.00  0.00 48.00  0.00 27.00  0.00 36.00  0.00 312.13  6.34
4  15.00  0.00 54.00  0.00 30.00  0.00 39.00  0.00 341.34  6.84
4  15.00  0.00 60.00  0.00 33.00  0.00 42.00  0.00 358.95  7.06
4  15.00  0.00 66.00  0.00 36.00  0.00 45.00  0.00 373.60  6.45
4  15.00  0.00 72.00  0.00 39.00  0.00 48.00  0.00 398.46  5.45
4  15.00  0.00 78.00  0.00 42.00  0.00 51.00  0.00 389.62  5.05
4  15.00  0.00 84.00  0.00 45.00  0.00 54.00  0.00 429.46  3.98
4  15.00  0.00 90.00  0.00 48.00  0.00 57.00  0.00 471.61  3.85
4  15.00  0.00 96.00  0.00 51.00  0.00 60.00  0.00 517.40  3.50
4  15.00  0.00 102.00  0.00 54.00  0.00 63.00  0.00 561.77  2.74
